"comparison","objectA","objectB","selected_at","completed","selected_object","judgement_time","task_diff","task_diff_duration","comparative_feedback","feedback_duration","total_duration","assessorR"
695,"201ff93bed1856e467a73afca839da06","F16","8/09/2015 12:09",1,"F16",11,2,"3","Dieptewerking door zwart wit werkt",19,33,"assessor13"
696,"C1","E10","8/09/2015 12:10",1,"E10",25,3,"3","het gezichtsbedrog uit foto B springt i h oog",20,48,"assessor13"
697,"K11","J15","8/09/2015 12:11",1,"K11",46,3,"3","Samenbrengen van de twee abstracte kaarten is inhoudelijk boeiend, welke is abstracter, met grenzen of zonder?",71,120,"assessor13"
698,"4467eca119993cc6d6059a5d725aa6c4","5d8bc2a5aaf9041890e730414a34b0af","8/09/2015 12:13",1,"4467eca119993cc6d6059a5d725aa6c4",31,2,"3","Kleurbewerking en onderzoek naar patronen en mens",22,56,"assessor13"
699,"G9","H12","8/09/2015 12:21",1,"H12",11,2,"9","niet voor hand liggende samenvoeging van beelden, sterke compositie",25,45,"assessor13"
700,"I17","I12b","8/09/2015 12:22",1,"I17",15,2,"3","kleur experiment is mooi uitgewerkt",56,74,"assessor13"
701,"3649ba8db06d94c8b79911d940ba289c","E4","8/09/2015 12:23",1,"E4",22,3,"5","Kleurtonen in vormgeving van bladzijde en typografie is wel doordacht origineel",33,60,"assessor13"
702,"C14","cdfa1effe52bc3c01fde3e290f57085b","8/09/2015 12:24",1,"cdfa1effe52bc3c01fde3e290f57085b",9,2,"5","driedimensionale aspect en herhaling van materiaal vorm en kleur",33,47,"assessor13"
703,"F2","H19","8/09/2015 12:25",1,"F2",26,3,"7","kleur, compositie",18,51,"assessor13"
704,"E4","C18","8/09/2015 12:26",1,"E4",6,2,"2","duidelijkere beeldende keuzes gemaakt in foto a, kleur en compositie",34,42,"assessor13"
705,"9b446c02b1d2fec409365483c212da9b","H13","8/09/2015 12:27",1,"9b446c02b1d2fec409365483c212da9b",50,7,"4","Vrij identieke beeldende uitwerking. Door de compositie in A tegenover de tekst op de andere bladzijde is het meer dynamisch.",63,117,"assessor13"
706,"K23","786709f6b21b9f098a1c6cbea7fdac08","8/09/2015 12:28",1,"786709f6b21b9f098a1c6cbea7fdac08",7,3,"3","Spelen met de Restvorm",17,27,"assessor13"
707,"G1","E21","8/09/2015 12:29",1,"E21",9,2,"2","traditioneel mindmap vs combinatie v materialen",23,34,"assessor13"
708,"d1fe7291ff309bfc52980e0f00714df3","K23","8/09/2015 12:30",1,"d1fe7291ff309bfc52980e0f00714df3",39,3,"3","laat de kijker nadenken over betekenis van het afgebeelde ",79,121,"assessor13"
709,"H0","54938ca135f9858cfb0c2a965718392e","8/09/2015 12:32",1,"H0",15,2,"3","door stilering meer 1 geheel",31,49,"assessor13"
710,"E22","ce5eb73aac1ac0832ad9ec9adedb38da","8/09/2015 12:32",1,"ce5eb73aac1ac0832ad9ec9adedb38da",12,2,"3","A is erg tekstueel",5,20,"assessor13"
711,"K23","J15","8/09/2015 12:43",1,"K23",7,4,"0","",0,7,"assessor13"
712,"K21","I15","8/09/2015 14:04",1,"K21",22,2,"8","A heeft sterke visuele verbanden ",35,65,"assessor13"
713,"C12","F4","8/09/2015 14:05",1,"F4",24,2,"2","kleur en centrale compositie in foto B is doordacht",33,59,"assessor13"
714,"K14","E10","8/09/2015 14:06",1,"K14",32,3,"2","Verschillen in lijntekeningen is een originele samenvoeging",33,67,"assessor13"
715,"C16","B8","8/09/2015 14:07",1,"C16",8,2,"3","Foto A evenwichtige abstracte compostie Foto b traditionele illustratie bij tekst",41,52,"assessor13"
716,"F16","5eee9f0e60b7c6c9717def7892237bb6","8/09/2015 14:08",1,"F16",9,2,"5","sterke dieptewerking is orginieel",9,23,"assessor13"
717,"d6fba3cf86ddfa7a43b68ae7ee134b2a","F3","8/09/2015 14:08",1,"d6fba3cf86ddfa7a43b68ae7ee134b2a",11,2,"7","A collage is op een orginele manier bij elkaar gebracht door vloeiende lijnen",41,59,"assessor13"
718,"d1fe7291ff309bfc52980e0f00714df3","D5","8/09/2015 14:10",1,"d1fe7291ff309bfc52980e0f00714df3",11,2,"4","Foto B is erg traditioneel mindmap, achtergrond afbeelding is voor de hand liggend",31,46,"assessor13"
719,"H12","K21","8/09/2015 14:10",1,"H12",4,2,"2","Boeiende compositie ",7,13,"assessor13"
720,"E5","G5","8/09/2015 14:11",1,"G5",35,3,"7","complexiteit, meer beeldende keuzes gemaakt",28,70,"assessor13"
721,"D11","d7f573c9a18444c1b18c4e62e4b5f9f6","8/09/2015 14:12",1,"d7f573c9a18444c1b18c4e62e4b5f9f6",14,3,"2","Door gebrek aan voorstelling abstractie zijn de bloemen vervreemd",24,40,"assessor13"
722,"G3","H12","8/09/2015 14:12",1,"H12",6,2,"6","A is hoofdzakelijk tekstueel zonder spannende typografische elementen",41,53,"assessor13"
723,"H2","da10dd2f875c94b2f976147315a321cd","8/09/2015 14:14",1,"da10dd2f875c94b2f976147315a321cd",44,3,"2","",1,47,"assessor05"
724,"965443f7a817be579b5cd51aebfd15f7","E20","8/09/2015 14:14",1,"E20",19,3,"4","Weinig meer eigen beeldende keuzes in foto A dan het samenvoegen van bestaande beelden",31,54,"assessor13"
725,"J9","59bbe0f37957c04823cce57361bc26ba","8/09/2015 14:15",1,"J9",67,2,"3","",1,71,"assessor05"
726,"K19","F5","8/09/2015 14:16",1,"K19",9,2,"0","Foto B is niet veel meer dan een geïllustreerd mindmap, foto b sterk door herhaling zelfde beeld",0,9,"assessor13"
727,"E11","A8","8/09/2015 14:17",1,"E11",30,5,"5","Het wegstrepen van de tekst is een originele ingreep, foto b is niet veel meer dan verzameling van beelden",31,66,"assessor13"
728,"4316da0280389031ec4fde76dcb58b10","B3","8/09/2015 14:18",1,"B3",38,4,"3","Foto B, kleine ingreep wel goed in de esthetiek van de gekozen foto",23,64,"assessor13"
729,"786709f6b21b9f098a1c6cbea7fdac08","I12b","8/09/2015 14:19",1,"786709f6b21b9f098a1c6cbea7fdac08",4,2,"4","Spelen met de restvorm, het negatieve is niet voor de hand liggend",17,25,"assessor13"
730,"E23","E28","8/09/2015 14:20",1,"E28",76,7,"5","Beiden weinig originele beeldende ingrepen, tekst plus illustratie. Foto B bevat meer originele beelden en evenwichtigere verdeling",63,144,"assessor13"
731,"E21","4467eca119993cc6d6059a5d725aa6c4","8/09/2015 14:22",1,"E21",27,5,"5","Foto A experiment met verschillende materialen",24,56,"assessor13"
732,"E30","C12","8/09/2015 14:23",1,"E30",16,4,"3","",28,47,"assessor13"
733,"J7","K14","8/09/2015 14:24",1,"K14",9,3,"3","Sterk beeld door de lijntekeningen",7,19,"assessor13"
734,"I3","E1","8/09/2015 14:24",1,"I3",30,4,"3","Kleur en dieptewerking in de collage is opvallend",13,46,"assessor13"
735,"1a044b43ab4eca593fa07c0b69e55cc3","A18","8/09/2015 14:25",1,"A18",40,4,"3","Verband tussen kevers en de vibrerende bollen is een originele vinding",40,83,"assessor13"
736,"A16","F15","8/09/2015 14:26",1,"F15",20,2,"4","iconisch beeld van de voetstap, zwart wit kleurgebruik",25,49,"assessor13"
737,"F4","94d9699732e50f271a89808b9575139b","8/09/2015 14:27",1,"94d9699732e50f271a89808b9575139b",5,3,"2","Spannende compositie",15,22,"assessor13"
738,"D12","9125eb25d10dcb5fb57dfbdb59a1b74b","8/09/2015 14:28",1,"D12",45,6,"3","hoog abstractie niveau maar B is ook een boeiende compositie",41,89,"assessor13"
739,"f48ab1373fce7ff56fa9d6dc6eb9787b","e5a81896770776be23d598d49ed65f03","8/09/2015 14:32",1,"e5a81896770776be23d598d49ed65f03",239,3,"3","Foto A lijkt me meer vormgeving van de pagina, dan van het concept.",16,258,"assessor05"
740,"A14","D5","8/09/2015 14:29",1,"A14",3,2,"4","B is traditioneel mind map",10,17,"assessor13"
741,"F3","ce5eb73aac1ac0832ad9ec9adedb38da","8/09/2015 14:29",1,"ce5eb73aac1ac0832ad9ec9adedb38da",6,2,"5","Kleurgebruik, vervormingen, serialiteit",22,33,"assessor13"
742,"F3","E29","8/09/2015 14:30",1,"E29",14,2,"3","Originele beelden",5,22,"assessor13"
743,"4e97803b18e84a03636d0ea4459a0809","K2","8/09/2015 14:30",1,"4e97803b18e84a03636d0ea4459a0809",14,3,"4","Originele typografie",13,31,"assessor13"
744,"E30","C16","8/09/2015 14:31",1,"C16",7,3,"16","Gedurfde abstractie",16,39,"assessor13"
745,"9125eb25d10dcb5fb57dfbdb59a1b74b","C19","8/09/2015 14:31",1,"9125eb25d10dcb5fb57dfbdb59a1b74b",9,3,"3","3 dimensional effect en vloeiende lijnen",16,28,"assessor13"
746,"J7","54938ca135f9858cfb0c2a965718392e","8/09/2015 14:32",1,"54938ca135f9858cfb0c2a965718392e",9,2,"3","Kleurgebruik",7,19,"assessor13"
747,"K2","ac669b056cd33482fad55d756497b177","8/09/2015 14:33",1,"K2",27,4,"4","Hartje is wel erg clichématig maar die arcering en dat kader voegt wel wat toe, foto B lijkt vrij onsamenhangend",54,85,"assessor13"
748,"K25","2920d4f4f2684f38b8167e1a99129821","8/09/2015 14:39",1,"2920d4f4f2684f38b8167e1a99129821",367,3,"31","",2,400,"assessor05"
749,"H2","C16","8/09/2015 14:34",1,"C16",3,2,"10","abstractie",13,26,"assessor13"
750,"F7","E20","8/09/2015 14:34",1,"E20",14,3,"2","Originele  futuristische grafische vormgeving, kleurgebruik",26,42,"assessor13"
751,"f55ee19306d07ae1f8a3a61c6053dd65","G3","8/09/2015 14:35",1,"f55ee19306d07ae1f8a3a61c6053dd65",17,3,"2","Foto B is erg tekstueel",14,33,"assessor13"
752,"C9","D11","8/09/2015 14:36",1,"C9",28,6,"6","In foto B spreken de schetsen weinig voor zichzelf",22,56,"assessor13"
753,"A12","C19","8/09/2015 14:36",1,"A12",8,3,"3","serialiteit en materiaalgebruik",29,40,"assessor13"
754,"A7","E29","8/09/2015 14:38",1,"E29",42,4,"5","Hoewel foto A misschien origineler is vormgegeven qua compositie zijn de beelden zelf origineler in foto B",42,89,"assessor13"
755,"H10","4467eca119993cc6d6059a5d725aa6c4","8/09/2015 14:39",1,"4467eca119993cc6d6059a5d725aa6c4",5,2,"3","Patronen en de herhaling van de mens in die patronen is een originele vinding",23,31,"assessor13"
756,"ce5eb73aac1ac0832ad9ec9adedb38da","K2","8/09/2015 14:39",1,"ce5eb73aac1ac0832ad9ec9adedb38da",2,1,"4","serialiteit",4,10,"assessor13"
757,"H4","H3","8/09/2015 14:40",1,"H4",39,5,"10","A is Complexer en meer een geheel",15,64,"assessor13"
758,"E5","C16","8/09/2015 14:40",1,"C16",3,1,"2","",1,6,"assessor05"
759,"0ff122df35e6ed7d06b637d474d7eb49","94d9699732e50f271a89808b9575139b","8/09/2015 14:48",1,"0ff122df35e6ed7d06b637d474d7eb49",477,6,"3","Heel vergelijkbaar, maar gekozen voor A omdat ik vind dat deze net iets meer vermogen tot abstrahering toont.",20,500,"assessor05"
760,"59bbe0f37957c04823cce57361bc26ba","K18","8/09/2015 14:40",1,"K18",8,2,"7","A is een meer traditioneel midnmap B orginele combi grime en portrettekening",26,41,"assessor13"
761,"K2","F15","8/09/2015 14:41",1,"F15",4,1,"4","Zwart wit kleurgebruik, keuze voor iconische vorm v d voetstap",24,32,"assessor13"
762,"E21","K11","8/09/2015 14:42",1,"E21",7,3,"2","Materiaalgebruik",6,15,"assessor13"
763,"C7","H10","8/09/2015 14:42",1,"C7",14,4,"10","gebruik collage techniek, hoewel erg summier ",17,41,"assessor13"
764,"J11","ee7c0339be618ca65973144f3bb849ce","8/09/2015 14:43",1,"ee7c0339be618ca65973144f3bb849ce",8,3,"3","beeldend onderzoek naar 'blokken schema' genereren van veel opties",21,32,"assessor13"
765,"B3","ca4b73cfbaf430ee72a8faf80734c750","8/09/2015 14:43",1,"ca4b73cfbaf430ee72a8faf80734c750",6,3,"2","overall compositie",11,19,"assessor13"
766,"B14","F16","8/09/2015 14:44",1,"F16",4,2,"2","Licht donker contrast gebruikt voor dieptewerking",11,17,"assessor13"
767,"H16","J7","8/09/2015 14:44",1,"H16",14,4,"13","visualisatie is meer meer een geheel bij A",31,58,"assessor13"
768,"da10dd2f875c94b2f976147315a321cd","C6","8/09/2015 14:45",1,"da10dd2f875c94b2f976147315a321cd",13,3,"7","complexe collage ",20,40,"assessor13"
769,"K19","54938ca135f9858cfb0c2a965718392e","8/09/2015 14:46",1,"K19",5,2,"3","sterke serialiteit en eigen ingreep",12,20,"assessor13"
770,"3e214041981e81f9fd99ca069cf98325","F18","8/09/2015 14:49",1,"F18",1,6,"0","Bij beide is er origineel materiaal gebruik, de voetstappen bij zijn B zijn echter een sterker beeld door de simplificatie/abstractie",0,1,"assessor13"
771,"4e97803b18e84a03636d0ea4459a0809","E10","8/09/2015 14:50",1,"4e97803b18e84a03636d0ea4459a0809",10,4,"3","Originele typografie",10,23,"assessor13"
772,"K26","E23","8/09/2015 14:51",1,"K26",14,4,"0","Simplificatie brengt het idee sterker naar voren",0,14,"assessor13"
773,"I10","G5","8/09/2015 17:51",1,"I10",7,2,"2","",1,10,"assessor05"
774,"G5","A13","8/09/2015 17:51",1,"A13",3,1,"4","",1,8,"assessor05"
775,"K26","0410ebd8e853f8b3f21bf103193dabb2","8/09/2015 17:51",1,"K26",28,2,"2","",1,31,"assessor05"
776,"D5","E24","8/09/2015 17:52",1,"E24",69,2,"2","",1,72,"assessor05"
777,"J7","A7","8/09/2015 17:55",1,"A7",136,6,"70","Twijfel, concept van de behangrol bij A origineler, maar niet in de visualisatie.",30,236,"assessor05"
778,"J7","F16","8/09/2015 17:57",1,"F16",5,2,"4","",2,11,"assessor05"
779,"A18","J13","8/09/2015 18:04",1,"J13",420,5,"8","Wel twijfel, maar gekozen voor B omdat ik vind dat hier met meer persoonlijke inbreng een concept gevisualiseerd wordt, waar bij A het toch meer onderzoekend lijkt. ",41,469,"assessor05"
780,"482d7a26ee61f1a3c7a58a495e9f2b54","A18","8/09/2015 18:05",1,"A18",3,1,"3","",1,7,"assessor05"
781,"C4","H3","8/09/2015 18:05",1,"C4",5,1,"2","",3,10,"assessor05"
782,"f55ee19306d07ae1f8a3a61c6053dd65","K17","8/09/2015 18:05",1,"K17",29,2,"2","",1,32,"assessor05"
783,"E11","D14","8/09/2015 18:06",1,"D14",11,2,"3","",1,15,"assessor05"
784,"5424045be2c80e896ef02f09bf8808d7","e5a81896770776be23d598d49ed65f03","8/09/2015 18:06",1,"5424045be2c80e896ef02f09bf8808d7",28,2,"2","",1,31,"assessor05"
785,"H0","J7","9/09/2015 8:20",1,"H0",13,2,"7","foto A heeft een weloverwogen compositie",39,59,"assessor13"
786,"H4","K24","9/09/2015 8:22",1,"H4",80,5,"3","Betere visualisatie van een idee, foto B weinig eigen creatieve ingrepen",27,110,"assessor13"
787,"C18","C7","9/09/2015 8:23",1,"C18",57,5,"5","A is erg summier maar roept door die simplificatie/abstractie wel op tot vragen",33,95,"assessor13"
788,"A15","5d8bc2a5aaf9041890e730414a34b0af","9/09/2015 8:24",1,"5d8bc2a5aaf9041890e730414a34b0af",11,2,"3","Kleurgebruik en lijnvoering vallen samen ",31,45,"assessor13"
789,"B14","H4","9/09/2015 8:25",1,"H4",10,2,"2","Logboek B is visualiseert een heel idee, in A slechts traditionele versiering",89,101,"assessor13"
790,"C15","E23","9/09/2015 8:27",1,"C15",5,2,"7","Zwart wit kleurgebruik en het gebruik van restvormen zijn bewust toegepast, ",38,50,"assessor13"
791,"I2","F18","9/09/2015 8:27",1,"F18",4,1,"3","A is een traditioneel mind-map, B samenvoeging van verschillende beelden",54,61,"assessor13"
792,"A18","F4","9/09/2015 8:29",1,"A18",6,2,"3","Bij A wordt er een mooi niet voor de hand liggend visueel verband gelegd",39,48,"assessor13"
793,"A18","K24","9/09/2015 8:29",1,"A18",4,1,"4","Logboek A legt een niet voor d e hand liggend verband",14,22,"assessor13"
794,"C16","ac669b056cd33482fad55d756497b177","9/09/2015 8:30",1,"C16",24,2,"2","Sterke abstractie bij A",12,38,"assessor13"
795,"E8","94d9699732e50f271a89808b9575139b","9/09/2015 8:31",1,"94d9699732e50f271a89808b9575139b",7,2,"2","A erg tekst-based, B boeiende composite, 1 geheel",17,26,"assessor13"
796,"A13","ea230cb808b6557485b8dc7db1a0a86a","9/09/2015 8:31",1,"A13",21,3,"5","A gebruik van de lege ruimte van de bladzijde is origineel",18,44,"assessor13"
797,"94d9699732e50f271a89808b9575139b","482d7a26ee61f1a3c7a58a495e9f2b54","9/09/2015 8:32",1,"94d9699732e50f271a89808b9575139b",6,2,"2","A meer eigen beeldende ingrepen, B hoofdzakelijk 1 bestaand beeld",20,28,"assessor13"
798,"K26","K19","9/09/2015 8:33",1,"K19",6,3,"7","serialiteit maakt de beelden sterk bij B",12,25,"assessor13"
799,"A6","J9","9/09/2015 8:33",1,"J9",13,1,"4","B spanende compositie en verzameling beelden",17,34,"assessor13"
800,"da10dd2f875c94b2f976147315a321cd","A9","9/09/2015 8:35",1,"da10dd2f875c94b2f976147315a321cd",20,3,"7","Associaties tussen beelden en complexe compositie bij A",23,50,"assessor13"
801,"G5","H2","9/09/2015 8:36",1,"G5",8,3,"6","Kleurgebruik en gebruik van de ruimte van de bladzijdes is evenwichtig, verhouding tekst en beeld is in balans",43,57,"assessor13"
802,"F12","5d8bc2a5aaf9041890e730414a34b0af","9/09/2015 8:38",1,"5d8bc2a5aaf9041890e730414a34b0af",56,3,"7","Kleurgebruik, indringender beeld door vervorming bij B",40,103,"assessor13"
803,"J15","da10dd2f875c94b2f976147315a321cd","9/09/2015 8:39",1,"da10dd2f875c94b2f976147315a321cd",21,3,"3","Complexe compositie bij B",19,43,"assessor13"
804,"4316da0280389031ec4fde76dcb58b10","F3","9/09/2015 8:40",1,"F3",26,5,"5","De beeldende ingrepen in typografie en tekstkaders voegen niet veel toe bij b, A is een betere visualisatie van het concept",49,80,"assessor13"
805,"I11","d6fba3cf86ddfa7a43b68ae7ee134b2a","9/09/2015 8:41",1,"d6fba3cf86ddfa7a43b68ae7ee134b2a",41,6,"18","Hoewel vrij traditionele collage is licht donker contrast doordacht",109,168,"assessor13"
806,"F7","H4","9/09/2015 8:44",1,"H4",22,3,"6","Bij A speelt tekst de hoofdrol",15,43,"assessor13"
807,"ac669b056cd33482fad55d756497b177","K25","9/09/2015 8:45",1,"K25",15,4,"6","Duidelijker visueel onderzoek, b willekeurig samenvoeging van beelden?",28,49,"assessor13"
808,"H12","I19","9/09/2015 8:45",1,"I19",10,2,"3","Origineel gebruik van de ruimte van de bladzijdes",13,26,"assessor13"
809,"A13","E23","9/09/2015 8:46",1,"A13",8,2,"2","Origineel gebruik v d leegte van de bladzijde",22,32,"assessor13"
810,"A16","E22","9/09/2015 8:46",1,"A16",6,2,"2","Visueel verband landschap en abstracte beeld is origineel hoewel ik niet weet of het intentioneel was",47,55,"assessor13"
811,"E24","I10","9/09/2015 8:47",1,"I10",9,2,"3","sterk doorgevoerde lijntekening en abstractie, stijl",44,56,"assessor13"
812,"G3","45154a9e7c9638ad97b07b3e8baf525b","9/09/2015 8:48",1,"45154a9e7c9638ad97b07b3e8baf525b",3,1,"9","test based vs complex abstracte compositie",21,33,"assessor13"
813,"E5","H0","9/09/2015 8:49",1,"H0",16,3,"2","complexere compositie bij B",10,28,"assessor13"
814,"E20","F15","9/09/2015 8:49",1,"F15",8,3,"5","Voetspoor wordt een iconisch beeld, zwart wit kelurgebruik",22,35,"assessor13"
815,"D11","C13","9/09/2015 8:50",1,"C13",4,2,"4","sterk beeld door abstractie, positief - negatief origineel ingezet",47,55,"assessor13"
816,"1b2bf88d0cf06c8dfb2d58e0b4579f35","G10","9/09/2015 8:51",1,"G10",15,2,"3","Bij B evenwichtig gepresenteerd beeldverhaal ",41,59,"assessor13"
817,"G9","K26","9/09/2015 8:53",1,"G9",44,5,"5","Beeldend verband tussen buddha en weegschaal is origineel?",28,77,"assessor13"
818,"C9","K19","9/09/2015 8:53",1,"K19",4,2,"2","Bij B staan de beelden op zichzelf niet slechts illustratie van een idee",25,31,"assessor13"
819,"I18","J11","9/09/2015 8:54",1,"I18",6,3,"3","abstractie door sterke lijnvoering",13,22,"assessor13"
820,"e6a2aa6b4f60dcdfcc0ab434c9db7457","E21","9/09/2015 8:59",1,"E21",17,3,"4","A is goed verzorgd maar bij b origineler materiaal gebruik",31,52,"assessor13"
821,"K27","C14","9/09/2015 9:00",1,"C14",5,3,"4","sterke composities door abstractie bij B",14,23,"assessor13"
822,"H10","5424045be2c80e896ef02f09bf8808d7","9/09/2015 9:01",1,"5424045be2c80e896ef02f09bf8808d7",16,4,"5","duidelijk visualisatie van een storyboard op een originele manier gepresenteerd door achtergrond",64,85,"assessor13"
823,"H19","H2","9/09/2015 9:02",1,"H19",17,6,"3","Bij A zijn het krachtigere beelden door de plaatsing van de tekeningen op de bladzijde",37,57,"assessor13"
824,"e5a81896770776be23d598d49ed65f03","5eee9f0e60b7c6c9717def7892237bb6","9/09/2015 9:03",1,"e5a81896770776be23d598d49ed65f03",6,3,"2","Originele beeldende verbanden tussen kleur en onderwerp ",27,35,"assessor13"
825,"A14","45154a9e7c9638ad97b07b3e8baf525b","9/09/2015 9:04",1,"A14",18,7,"3","Lastig! Beide sterke compositie en hoog abstractie niveau. Uiteindelijk heb ik A gekozen door knipseltechniek als roigineel materiaalgebruik",86,107,"assessor13"
826,"9b446c02b1d2fec409365483c212da9b","K20","9/09/2015 9:05",1,"K20",5,1,"3","Bij b staan de beelden op zichzelf",8,16,"assessor13"
827,"I15","E27","9/09/2015 9:06",1,"I15",26,4,"3","Bij A zijn er meer eigen beeldende ingrepen gedaan",36,65,"assessor13"
828,"F7","H2","9/09/2015 9:07",1,"H2",17,3,"3","Meer eigen beeldende keuzes gemaakt, beelden bij A erg illustratief",21,41,"assessor13"
829,"786709f6b21b9f098a1c6cbea7fdac08","H19","9/09/2015 9:08",1,"786709f6b21b9f098a1c6cbea7fdac08",2,2,"4","3 dimensionaliteit en restvorm is origineel",19,25,"assessor13"
830,"H4","A16","9/09/2015 9:09",1,"H4",33,4,"3","meer eigen beeldende ingrepen zichtbaar bij b overstijgen de beelden niet het illustratieve karakter",33,69,"assessor13"
831,"C13","d1fe7291ff309bfc52980e0f00714df3","9/09/2015 9:09",1,"C13",3,3,"4","restvormen, zwart wit kleurgebruik is op originele manier toegepast",16,23,"assessor13"
832,"29fe32912c306a55427d86d4a78dde8c","E22","9/09/2015 9:10",1,"29fe32912c306a55427d86d4a78dde8c",6,2,"5","beelden dragen de boodschap",12,23,"assessor13"
833,"C18","d1fe7291ff309bfc52980e0f00714df3","9/09/2015 9:10",1,"d1fe7291ff309bfc52980e0f00714df3",3,3,"11","Foto A plaatsing beeld op bladzijde en abstractie niveau",30,44,"assessor13"
834,"A7","5d8bc2a5aaf9041890e730414a34b0af","9/09/2015 9:12",1,"5d8bc2a5aaf9041890e730414a34b0af",5,3,"3","A slechts verzameling van beelden, B zijn zelfstandige beelden, grote expressiviteit ",40,48,"assessor13"
835,"K10","da10dd2f875c94b2f976147315a321cd","9/09/2015 9:13",1,"da10dd2f875c94b2f976147315a321cd",8,3,"2","Bij B complexere compositie",8,18,"assessor13"
836,"F12","4316da0280389031ec4fde76dcb58b10","9/09/2015 9:13",1,"4316da0280389031ec4fde76dcb58b10",8,4,"10","Bij A spreken de beelden niet voor zichzelf, hoewel bij B tekst de hoofdrol speelt is het een sterk beeld door kleurgebruik",88,106,"assessor13"
837,"4316da0280389031ec4fde76dcb58b10","K23","9/09/2015 9:15",1,"K23",5,4,"2","B is sterker door centrale plaatsing v d beelden en serialiteit",15,22,"assessor13"
838,"H2","B8","9/09/2015 9:16",1,"B8",11,3,"2","Bij A meer eigen beeldende ingrepen, B is beeld illustratief",21,34,"assessor13"
839,"K2","1a044b43ab4eca593fa07c0b69e55cc3","9/09/2015 9:16",1,"1a044b43ab4eca593fa07c0b69e55cc3",5,2,"3","Eigen manier van plaatsing afbeeldingen",22,30,"assessor13"
840,"965443f7a817be579b5cd51aebfd15f7","201ff93bed1856e467a73afca839da06","9/09/2015 9:17",1,"201ff93bed1856e467a73afca839da06",14,3,"4","B overstijgt niet tarditionele manier van afbeelden Buddha, A nieuwe verbanden door samenbrengen van bestaande beelden",35,53,"assessor13"
841,"A7","C11","9/09/2015 9:18",1,"C11",8,1,"2","B is zelfstandig beeld, hoog abstractie nivo daardoor sterk beeld, diepte",22,32,"assessor13"
842,"11932db57791df696a819ee36383b36f","F13","9/09/2015 9:18",1,"F13",12,3,"7","B zijn de beelden expressiever consistent gebruik van kleur",20,39,"assessor13"
843,"K24","A13","9/09/2015 9:19",1,"A13",8,2,"5","B gebruik bladzijde is origineel",30,43,"assessor13"
844,"1a044b43ab4eca593fa07c0b69e55cc3","d7f573c9a18444c1b18c4e62e4b5f9f6","9/09/2015 9:19",1,"d7f573c9a18444c1b18c4e62e4b5f9f6",6,5,"7","b is beeldend sterker door de platheid van het beeld. ",33,46,"assessor13"
845,"H12","C18","9/09/2015 9:20",1,"H12",4,3,"4","spaarzaam gebruik van beelden is origineel en beelden krijgen een geheel nieuwe zeggingskracht door deze samenvoeging",61,69,"assessor13"
846,"H3","G10","9/09/2015 9:22",1,"G10",15,3,"7","Duidelijk beekdverhaal bij B ",30,52,"assessor13"
847,"K24","E8","9/09/2015 9:23",1,"K24",13,5,"2","B is erg tekstueel, afbeelding illustratief, bij A krijgen de beelden nog enigszins een nieuwe zeggingskracht",52,67,"assessor13"
848,"E5","C8","9/09/2015 9:24",1,"C8",20,3,"6","A is een weinig origineel beeld, lijkt een tekening uit een kleurboek, B is een origineler verband tussen potloodtekening en de foto met militairen ",118,144,"assessor13"
849,"0410ebd8e853f8b3f21bf103193dabb2","H3","9/09/2015 9:26",1,"0410ebd8e853f8b3f21bf103193dabb2",30,3,"20","Bij A originele samenvoeging van bestaande beelden in een nieuwe context",26,76,"assessor13"
850,"K18","B14","9/09/2015 9:27",1,"K18",16,1,"5","A is een zelfstandig krachtig beeld door abstractie ",39,60,"assessor13"
851,"C15","59bbe0f37957c04823cce57361bc26ba","9/09/2015 9:28",1,"C15",3,1,"3","B vrij traditioneel mind map, B kleurgebruik en abstractie  sterk ingezet",40,46,"assessor13"
852,"I15","C18","9/09/2015 9:30",1,"I15",17,3,"0","De beelden brengen het idee krachtiger naar voren.",32,49,"assessor13"
853,"H17","K18","9/09/2015 9:30",1,"K18",3,2,"2","door simpele beeldende ingrepen, abstractie, kleurgebruik, een opvallend beeld verkregen",35,40,"assessor13"
854,"D16","G3","9/09/2015 9:31",1,"D16",7,2,"3","Bij B is tekst dominant, A interessante plaatsen van afbeeldingen",46,56,"assessor13"
855,"H17","K26","9/09/2015 9:42",1,"K26",6,3,"9","Meer zeggingskracht door herhaling van organische vormen en lijnvoering ",42,57,"assessor13"
856,"K18","H0","9/09/2015 9:43",1,"K18",3,2,"2","Weinig vernieuwende manier van het maken van een collage, A sterk beeld door simplificatie",34,39,"assessor13"
857,"C8","K18","9/09/2015 9:44",1,"K18",16,5,"7","B door simplificatie en kleurgebruik ",17,40,"assessor13"
858,"D5","A16","9/09/2015 9:44",1,"A16",4,3,"13","A voor de hand liggend beeld, B nieuwe verbanden gelegd",29,46,"assessor13"
859,"E29","1a044b43ab4eca593fa07c0b69e55cc3","9/09/2015 9:45",1,"1a044b43ab4eca593fa07c0b69e55cc3",16,3,"2","Eiegen manier van plaatsen afbeeldingen, A sterke beelden maar verder traditoneel gepresenteerd beeldverhaal",39,57,"assessor13"
860,"C13","3e214041981e81f9fd99ca069cf98325","9/09/2015 9:46",1,"C13",17,2,"8","Spel met positief en negatief is eigen, zwart wit kleurgebruik is krachtig",33,58,"assessor13"
